EVA;ISS;Mission;Participants;Duration;Date;Notes
1;;Voskhod 2;Alexi Leonov;0h 23m;1965-03-18;First spacewalk
2;;Gemini IV;Edward White, James McDivitt;0h 46m;1966-06-03;First American spacewalk, McDivitt did not egress
3;;Gemini IX-A;Eugene Cernan, Thomas Stafford;2h 08m;1966-06-05;No egress by Stafford
4;;Gemini X;Michael Collins, John Young;0h 50m;1966-07-19;No egress by Young
5;;Gemini X;Michael Collins, John Young;0h 40m;1966-07-20;No egress by Young
6;;Gemini X;Michael Collins, John Young;0h 03m;1966-07-21;Equipment dump
7;;Gemini XI;Richard Gordon, Charles Conrad;0h 43m;1966-09-13;No egress by Conrad
8;;Gemini XI;Richard Gordon, Charles Conrad;0h 04m;1966-09-13;Equipment dump
9;;Gemini XI;Richard Gordon, Charles Conrad;2h 10m;1966-09-14;No egress by Conrad
10;;Gemini XII;Edwin Aldrin, James Lovell;2h 30m;1966-11-12;No egress by Lovell
11;;Gemini XII;Edwin Aldrin, James Lovell;2h 08m;1966-11-13;No egress by Lovell
12;;Gemini XII;Edwin Aldrin, James Lovell;0h 58m;1966-11-14;No egress by Lovell
13;;Soyuz 5;Yevgeni Khrunov, Aleksei Yeliseyev;0h 53m;1969-01-15;
14;;Apollo 9;Russell Schweickart, James McDivitt;1h 07m;1969-03-06;Schweickert on LM porch, No egress by McDivitt
15;;Apollo 9;David Scott;1h 01m;1969-03-06;Scott from CM
16;;Apollo 11;Edwin Aldrin, Neil Armstrong;2h 32m;1969-07-21;Lunar (02:39:33 UTC)
17;;Apollo 11;Edwin Aldrin, Neil Armstrong;0h 05m;1969-07-21;Equipment dump
18;;Apollo 12;Alan Bean, Charles Conrad;3h 56m;1969-11-19;Lunar (11:32:35 UTC)
19;;Apollo 12;Alan Bean, Charles Conrad;3h 49m;1969-11-20;Lunar (03:54:45 UTC)
20;;Apollo 12;Charles Conrad, Alan Bean;0h 05m;1969-11-20;Equipment dump
21;;Apollo 14;Edgar Mitchell, Alan Shepard;4h 48m;1971-02-05;Lunar (14:42:13 UTC)
22;;Apollo 14;Edgar Mitchell, Alan Shepard;4h 35m;1971-02-06;Lunar (08:11:15 UTC)
23;;Apollo 15;David Scott;0h 33m;1971-07-31;Panoramic photos
24;;Apollo 15;James Irwin, David Scott;6h 33m;1971-07-31;Lunar (13:13:17 UTC)
25;;Apollo 15;James Irwin, David Scott;7h 12m;1971-08-01;Lunar (11:48:48 UTC)
26;;Apollo 15;James Irwin, David Scott;4h 50m;1971-08-02;Lunar (08:52:14 UTC)
27;;Apollo 15;James Irwin, David Scott;0h 12m;1971-08-02;Equipment dump
28;;Apollo 15;Alfred Worden, James Irwin, David Scott;0h 39m;1971-08-05;Deep Space (15:31:12 UTC), No egress by Scott or Irwin
29;;Apollo 16;Charles Duke, John Young;7h 11m;1972-04-21;Lunar (16:47:28 UTC)
30;;Apollo 16;Charles Duke, John Young;7h 23m;1972-04-22;Lunar (16:33:35 UTC)
31;;Apollo 16;Charles Duke, John Young;5h 40m;1972-04-23;Lunar (15:25:28 UTC)
32;;Apollo 16;Charles Duke, John Young;0h 04m;1972-04-23;Equipment dump
33;;Apollo 16;Thomas Mattingly, Charles Duke, John Young;1h 24m;1972-04-25;Deep Space (20:33:46 UTC), No egress by Young or Duke
34;;Apollo 17;Eugene Cernan, Harrison Schmitt;7h 12m;1972-12-11;Lunar (23:54:49 UTC)
35;;Apollo 17;Eugene Cernan, Harrison Schmitt;7h 37m;1972-12-12;Lunar (23:28:06 UTC)
36;;Apollo 17;Eugene Cernan, Harrison Schmitt;7h 15m;1972-12-13;Lunar (22:25:48 UTC)
37;;Apollo 17;Harrison Schmitt, Eugene Cernan;0h 07m;1972-12-14;Equipment dump
38;;Apollo 17;Harrison Schmitt, Eugene Cernan;0h 04m;1972-12-14;Equipment dump
39;;Apollo 17;Ronald Evans, Harrison Schmitt, Eugene Cernan;1h 06m;1972-12-17;Deep Space (20:27:40 UTC), No egress by Cernan or Schmitt
40;;Skylab 1;Paul Weitz;0h 40m;1973-05-25;Skylab 1
41;;Skylab 1;Charles Conrad, Joseph Kerwin;3h 23m;1973-06-07;Skylab 1
42;;Skylab 1;Charles Conrad, Paul Weitz;1h 34m;1973-06-19;Skylab 1
43;;Skylab 2;Owen Garriott, Jack Lousma;6h 37m;1973-08-06;Skylab 2
44;;Skylab 2;Owen Garriott, Jack Lousma;4h 37m;1973-08-24;Skylab 2
45;;Skylab 2;Alan Bean, Owen Garriott;2h 45m;1973-09-22;Skylab 2
46;;Skylab 3;Edward Gibson, William Pogue;6h 36m;1973-11-22;Skylab 3
47;;Skylab 3;Gerald Carr, William Pogue;7h 00m;1973-12-25;Skylab 3
48;;Skylab 3;Gerald Carr, William Pogue;3h 34m;1973-12-29;Skylab 3
49;;Skylab 3;Gerald Carr, William Pogue;5h 24m;1974-02-03;Skylab 3
50;;Salyut 6, PE-1;Georgi Grechko, Yuri Romanenko;1h 28m;1977-12-19;
51;;Salyut 6, PE-2;Aleksandr Ivanchenkov, Vladimir Kovalyonok;2h 20m;1978-07-29;Ivanchenko actually depressurized at 03:57, 3 minutes before Kovalyonok
52;;Salyut 6, PE-3;Vladimir Lyakhov, Valeri Ryumin;1h 23m;1979-08-15;
53;;Salyut 7, PE-1;Anatoli Berezovoi, Valentin Lebedev;2h 33m;1982-07-30;
54;;STS-6;Franklin Musgrave, Donald Peterson;4h 10m;1983-04-07;
55;;Salyut 7, PE-2;Aleksandr Aleksandrov, Vladimir Lyakhov;2h 49m;1983-11-01;
56;;Salyut 7, PE-2;Aleksandr Aleksandrov, Vladimir Lyakhov;2h 55m;1983-11-03;
57;;41-B;Bruce McCandless, Robert Stewart;5h 55m;1984-02-07;McCandless makes the first untethered walk with a MMU, Ventures 100 m from shuttle
58;;41-B;Bruce McCandless, Robert Stewart;6h 17m;1984-02-09;
59;;41-C;George Nelson, James van Hoften;2h 51m;1984-04-08;
60;;41-C;George Nelson, James van Hoften;6h 38m;1984-04-11;
61;;Salyut 7, PE-3;Leonid Kizim, Vladimir Solovyov;4h 15m;1984-04-23;
62;;Salyut 7, PE-3;Leonid Kizim, Vladimir Solovyov;5h 00m;1984-04-26;
63;;Salyut 7, PE-3;Leonid Kizim, Vladimir Solovyov;2h 45m;1984-04-29;
64;;Salyut 7, PE-3;Leonid Kizim, Vladimir Solovyov;2h 45m;1984-05-03;
65;;Salyut 7, PE-3;Leonid Kizim, Vladimir Solovyov;3h 05m;1984-05-18;
66;;Salyut 7, VE-4;Vladimir Dzhanibekov, Svetlana Savitskaya;3h 34m;1984-07-25;First woman to spacewalk
