Order,Astronaut,Type,Date,Spacecraft
1,Yuri Gagarin,Orbital,12 April 1961,Vostok
2,Alan Shepard,Orbital,5 May 1961,Freedom 7
3,Virgil Grissom,Orbital,21 July 1961,Liberty Bell 7
4,Gherman Titov,Orbital,6 August 1961,Vostok 2
5,John Glenn,Orbital,20 February 1962,Friendship 7
6,Malcom Carpenter,Orbital,24 May 1962,Aurora 7
7,Andrian Nikolayev,Orbital,11 August 1962,Vostok 3
8,Pavel Popovich,Orbital,12 August 1962,Vostok 4
9,Walter Schirra,Orbital,3 October 1962,Sigma 7
10,Leroy Cooper,Orbital,15 May 1963,Faith 7
11,Valeri Bykovsky,Orbital,14 June 1963,Vostok 5
12,Valentina Tereshkova,Orbital,16 June 1963,Vostok 6
13,Joseph Walker,Orbital,19 July 1963,X-15 Flight #90
14,Konstantin Feoktistov,Orbital,12 October 1964,Voskhod
,Vladimir Komarov,Orbital,12 October 1964,Voskhod
,Boris Yegorov,Orbital,12 October 1964,Voskhod
17,Pavel Belyayev,Orbital,18 March 1965,Voskhod 2
,Alexi Leonov,Orbital,18 March 1965,Voskhod 2
19,John Young,Orbital,23 March 1965,Gemini 3
20,James McDivitt,Orbital,3 June 1965,Gemini IV
,Edward White,Orbital,3 June 1965,Gemini IV
22,Charles Conrad,Orbital,21 August 1965,Gemini V
23,Frank Borman,Orbital,4 December 1965,Gemini VII
,James Lovell,Orbital,4 December 1965,Gemini VII
25,Thomas Stafford,Orbital,15 December 1965,Gemini VI-A
26,Neil Armstrong,Orbital,16 March 1966,Gemini VIII
,David Scott,Orbital,16 March 1966,Gemini VIII
28,Eugene Cernan,Orbital,3 June 1966,Gemini IX-A
29,Michael Collins,Orbital,18 July 1966,Gemini X
30,Richard Gordon,Orbital,12 September 1966,Gemini XI
31,Edwin Aldrin,Orbital,11 November 1966,Gemini XII
32,Ronnie Cunningham,Orbital,11 October 1968,Apollo 7
,Donn Eisele,Orbital,11 October 1968,Apollo 7
34,Georgi Beregovoi,Orbital,26 October 1968,Soyuz 3
35,William Anders,Orbital,21 December 1968,Apollo 8
36,Vladimir Shatalov,Orbital,14 January 1969,Soyuz 4
37,Yevgeni Khrunov,Orbital,15 January 1969,Soyuz 5
,Boris Volynov,Orbital,15 January 1969,Soyuz 5
,Aleksei Yeliseyev,Orbital,15 January 1969,Soyuz 5
40,Russell Schweickart,Orbital,3 March 1969,Apollo 9
41,Valeri Kubasov,Orbital,11 October 1969,Soyuz 6
,Georgi Shonin,Orbital,11 October 1969,Soyuz 6
43,Anatoli Filipchenko,Orbital,12 October 1969,Soyuz 7
,Viktor Gorbatko,Orbital,12 October 1969,Soyuz 7
