id,period,datetime,network,item,type,duration
0,1999-11,1999-10-15 06:58,T-Mobile,data,data,34.5
1,1999-11,1999-10-15 06:58,Orange,call,mobile,13
2,1999-11,1999-10-15 14:46,Play,call,mobile,23
3,1999-11,1999-10-15 14:48,Plus,call,mobile,4
4,1999-11,1999-10-15 17:27,T-Mobile,call,mobile,4
5,1999-11,1999-10-15 18:55,Plus,call,mobile,4
6,1999-11,1999-10-16 06:58,Play,data,data,34.5
7,1999-11,1999-10-16 15:01,T-Mobile,call,mobile,602
8,1999-11,1999-10-16 15:12,T-Mobile,call,mobile,1050
9,1999-11,1999-10-16 15:30,T-Mobile,call,voicemail,19
10,1999-11,1999-10-16 16:21,T-Mobile,call,mobile,1183
11,1999-11,1999-10-16 22:18,Play,sms,mobile,1
12,1999-11,1999-10-16 22:21,Play,sms,mobile,1
13,1999-11,1999-10-17 06:58,Play,data,data,34.5
14,1999-11,1999-10-17 10:53,Plus,sms,mobile,1
15,1999-11,1999-10-17 11:19,Plus,sms,mobile,1
16,1999-11,1999-10-17 11:20,Play,sms,mobile,1
17,1999-11,1999-10-17 17:22,Orange,sms,mobile,1
18,1999-11,1999-10-17 17:23,Orange,sms,mobile,1
19,1999-11,1999-10-17 17:26,T-Mobile,call,mobile,92
20,1999-11,1999-10-17 17:29,Orange,call,mobile,4
21,1999-11,1999-10-17 17:30,Plus,call,mobile,375
22,1999-11,1999-10-17 17:42,Orange,sms,mobile,1
23,1999-11,1999-10-17 17:44,Orange,sms,mobile,1
24,1999-11,1999-10-17 17:44,Orange,sms,mobile,1
25,1999-11,1999-10-17 17:44,Orange,sms,mobile,1
26,1999-11,1999-10-18 06:58,Plus,data,data,34.5
27,1999-11,1999-10-18 11:51,Plus,call,mobile,783
28,1999-11,1999-10-18 12:06,Orange,call,mobile,4
29,1999-11,1999-10-18 12:06,Orange,call,mobile,3
30,1999-11,1999-10-18 13:08,Orange,call,mobile,101
31,1999-11,1999-10-18 13:10,T-Mobile,call,mobile,1714
32,1999-11,1999-10-18 14:01,T-Mobile,call,voicemail,96
33,1999-11,1999-10-18 18:52,Orange,sms,mobile,1
34,1999-11,1999-10-18 20:44,T-Mobile,call,mobile,384
35,1999-11,1999-10-18 21:04,T-Mobile,call,mobile,4
36,1999-11,1999-10-18 21:06,T-Mobile,sms,mobile,1
37,1999-11,1999-10-18 21:23,Orange,sms,mobile,1
38,1999-11,1999-10-18 22:37,T-Mobile,sms,mobile,1
39,1999-11,1999-10-19 06:58,Plus,data,data,34.5
40,1999-11,1999-10-19 14:47,T-Mobile,call,mobile,53
41,1999-11,1999-10-19 15:46,Plus,call,mobile,86
42,1999-11,1999-10-19 16:21,T-Mobile,call,mobile,23
43,1999-11,1999-10-19 16:30,T-Mobile,call,mobile,38
44,1999-11,1999-10-19 20:25,T-Mobile,call,mobile,428
45,1999-11,1999-10-20 06:58,Play,data,data,34.5
46,1999-11,1999-10-20 09:43,Plus,call,voicemail,69
47,1999-11,1999-10-20 09:43,T-Mobile,call,voicemail,18
48,1999-11,1999-10-20 13:55,Orange,call,mobile,3
49,1999-11,1999-10-20 13:56,landline,call,landline,6
50,1999-11,1999-10-20 18:14,Plus,call,mobile,5
51,1999-11,1999-10-20 18:24,Orange,call,mobile,131
52,1999-11,1999-10-20 19:59,Orange,sms,mobile,1
53,1999-11,1999-10-20 20:16,Orange,sms,mobile,1
54,1999-11,1999-10-21 06:58,Play,data,data,34.5
55,1999-11,1999-10-21 16:17,T-Mobile,call,mobile,550
56,1999-11,1999-10-22 06:58,Play,data,data,34.5
57,1999-11,1999-10-22 12:04,T-Mobile,call,mobile,7
58,1999-11,1999-10-23 06:58,Play,data,data,34.5
59,1999-11,1999-10-23 08:34,landline,call,landline,1940
60,1999-11,1999-10-23 09:45,Play,call,mobile,281
61,1999-11,1999-10-23 10:46,Plus,sms,mobile,1
