Date,Time,Location,Category,Spec,Duration [min],Max Depth [meters],Average Depth [meters],Temperature Surface [C],Temperature Underwater [C]
2021-10-15,13:26:07,,,,0.018055555555555554,2.7,1.9,31.0,31.0
2021-10-15,12:31:57,,,,0.016666666666666666,2.5,1.8,31.0,31.0
2021-10-15,11:20:10,,,,0.017361111111111112,3.3,1.8,31.0,31.0
2021-10-15,11:11:22,,,,0.0006944444444444445,3.0,2.2,31.0,31.0
2021-10-15,09:51:03,,,,0.020833333333333332,3.3,1.8,31.0,31.0
2021-10-14,18:22:54,,,,0.017361111111111112,3.1,1.9,30.0,30.0
2021-10-14,16:45:48,,,,0.029166666666666667,2.9,1.9,31.0,31.0
2021-10-14,14:24:32,,,,0.03125,3.1,1.7,31.0,31.0
2021-10-14,12:41:31,,,,0.001388888888888889,1.9,1.4,30.0,30.0
2021-10-14,11:43:05,,,,0.02638888888888889,3.1,1.6,31.0,31.0
2021-10-14,10:07:52,,,,0.02361111111111111,3.5,1.5,31.0,31.0
2021-10-14,09:21:00,,,,0.004861111111111111,3.4,1.5,29.0,30.0
2021-10-13,18:06:56,,,,0.009027777777777777,3.6,1.6,31.0,31.0
2021-10-13,17:43:07,,,,0.005555555555555556,3.5,2.9,31.0,31.0
2021-10-13,17:32:17,,,,0.011805555555555555,2.9,1.8,31.0,31.0
2021-10-13,17:11:30,,,,0.006944444444444444,3.6,2.8,31.0,31.0
2021-10-13,16:55:22,,,,0.002777777777777778,3.6,3.1,28.0,29.0
2021-10-13,16:50:51,,,,0.0020833333333333333,3.5,2.3,29.0,30.0
2021-10-13,12:43:02,,,,0.020833333333333332,2.9,1.7,30.0,31.0
2021-10-13,12:06:14,,,,0.00625,3.5,2.9,31.0,31.0
2021-10-13,00:06:42,,,,0.0020833333333333333,2.6,1.8,31.0,31.0
2021-10-12,23:34:12,,,,0.015277777777777777,3.6,2.9,31.0,31.0
2021-10-12,22:44:58,,,,0.009722222222222222,3.5,2.8,31.0,31.0
2021-10-12,22:07:23,,,,0.009027777777777777,3.5,2.7,31.0,31.0
2021-10-12,21:42:38,,,,0.005555555555555556,3.5,2.9,31.0,31.0
2021-10-12,21:01:32,,,,0.009027777777777777,3.5,2.8,31.0,31.0
2021-10-12,20:34:20,,,,0.006944444444444444,3.4,2.7,31.0,31.0
2021-10-12,19:46:20,,,,0.0006944444444444445,3.6,2.6,30.0,
2021-10-08,16:19:47,,,,0.022222222222222223,5.7,3.0,33.0,33.0
2021-10-08,15:11:40,,,,0.035416666666666666,44.2,11.9,32.0,32.0
2021-10-08,14:23:08,,,,0.02361111111111111,12.0,8.2,33.0,32.0
2021-10-08,13:34:04,,,,0.017361111111111112,19.5,11.9,32.0,32.0
2021-10-08,12:02:22,,,,0.03125,2.8,2.1,31.0,32.0
2021-10-07,21:18:09,,,,0.018055555555555554,2.8,2.0,33.0,33.0
2021-10-07,20:07:12,,,,0.027083333333333334,44.2,12.1,32.0,32.0
2021-10-07,18:24:16,,,,0.0,1.3,1.3,33.0,
2021-10-07,17:48:24,,,,0.009027777777777777,30.4,14.7,32.0,32.0
2021-10-07,17:00:53,,,,0.025694444444444443,19.7,10.7,32.0,32.0
2021-10-07,15:30:37,,,,0.0,1.4,1.3,33.0,
2021-10-07,15:22:33,,,,0.0,2.4,1.7,33.0,
2021-10-07,15:08:23,,,,0.0006944444444444445,2.8,1.8,32.0,32.0
2021-09-03,11:11:15,,,,0.041666666666666664,53.7,19.2,20.0,4.0
2021-09-02,12:00:30,,,,0.03819444444444445,45.0,16.8,20.0,4.0
2021-09-02,11:32:41,,,,0.011111111111111112,8.5,5.4,20.0,17.0
2021-09-01,12:58:22,,,,0.03263888888888889,42.7,17.4,20.0,4.0
2021-08-31,15:49:38,,,,0.029166666666666667,32.8,11.3,20.0,4.0
2021-08-31,12:53:20,,,,0.03611111111111111,33.4,9.8,20.0,4.0
2021-08-30,16:49:20,,,,0.020833333333333332,22.3,10.4,20.0,5.0
2021-08-30,16:09:08,,,,0.019444444444444445,24.0,14.1,20.0,5.0
2021-08-29,19:10:07,,,,0.02638888888888889,7.5,4.9,20.0,19.0
2021-08-29,18:26:56,,,,0.024305555555555556,7.0,5.3,19.0,19.0
2021-08-29,17:17:26,,,,0.027777777777777776,6.7,4.7,20.0,19.0
2021-08-29,15:22:12,,,,0.017361111111111112,7.6,5.4,20.0,18.0
2021-08-29,14:51:04,,,,0.016666666666666666,7.1,5.3,20.0,19.0
2021-08-29,13:08:47,,,,0.007638888888888889,7.6,5.4,20.0,19.0
2021-08-29,12:28:46,,,,0.018055555555555554,6.3,5.1,20.0,19.0
2021-08-29,10:27:25,,,,0.024305555555555556,7.3,5.4,20.0,19.0
2021-08-28,21:29:20,,,,0.03125,7.5,5.3,18.0,19.0
2021-08-28,18:59:44,,,,0.01597222222222222,6.4,5.6,20.0,19.0
2021-08-28,18:36:15,,,,0.011805555555555555,7.0,5.4,21.0,19.0
2021-08-28,18:27:39,,,,0.0006944444444444445,3.3,2.2,21.0,
2021-08-28,18:09:34,,,,0.003472222222222222,5.1,3.2,21.0,20.0
2021-08-28,18:00:31,,,,0.0006944444444444445,1.4,1.3,21.0,21.0
2021-08-28,17:44:37,,,,0.003472222222222222,2.7,1.9,21.0,21.0
2021-08-28,16:51:52,,,,0.010416666666666666,6.3,5.3,21.0,19.0
2021-08-28,16:38:15,,,,0.002777777777777778,5.8,3.9,22.0,20.0
2021-08-28,14:33:41,,,,0.029166666666666667,7.5,4.1,21.0,19.0
2021-08-28,13:19:34,,,,0.014583333333333334,5.8,2.5,21.0,19.0
2021-08-28,12:56:52,,,,0.0006944444444444445,1.7,1.4,21.0,
2021-08-28,12:14:26,,,,0.017361111111111112,6.3,3.6,21.0,19.0
2021-08-28,12:08:42,,,,0.0,2.0,1.7,21.0,
2021-08-28,10:51:03,,,,0.025,6.3,4.2,20.0,19.0
2021-07-30,11:40:46,,,,0.02847222222222222,34.0,18.6,24.0,5.0
2021-07-29,16:05:57,,,,0.02361111111111111,12.7,8.6,25.0,20.0
2021-07-29,14:13:26,,,,0.009722222222222222,17.2,14.0,25.0,16.0
2021-07-29,13:05:25,,,,0.034027777777777775,11.3,6.1,25.0,21.0
2021-07-25,14:53:35,,,,0.01875,32.8,19.1,24.0,6.0
2021-07-25,10:59:25,,,,0.03819444444444445,6.0,4.5,24.0,24.0
2021-07-24,18:16:54,,,,0.0006944444444444445,1.5,1.4,30.0,
2021-07-24,18:08:39,,,,0.001388888888888889,1.5,1.5,29.0,29.0
2021-07-24,17:40:27,,,,0.0006944444444444445,1.6,1.4,29.0,29.0
2021-07-23,17:40:06,,,,0.013194444444444444,18.1,14.3,24.0,7.0
